word,tags1
붙다,TOPIK 1
붙이다,TOPIK 1
블라우스,TOPIK 1
비,TOPIK 1
비교,TOPIK 1
비누,TOPIK 1
비다,TOPIK 1
비디오,TOPIK 1
비밀,TOPIK 1
비빔밥,TOPIK 1
비슷하다,TOPIK 1
비싸다,TOPIK 1
비행기,TOPIK 1
빌딩,TOPIK 1
빌리다,TOPIK 1
빠르다,TOPIK 1
빨간색,TOPIK 1
빨갛다,TOPIK 1
빨래,TOPIK 1
빨리,TOPIK 1
빵,TOPIK 1
빵집,TOPIK 1
빼다,TOPIK 1
뽑다,TOPIK 1
사,TOPIK 1
사거리,TOPIK 1
사계절,TOPIK 1
사고,TOPIK 1
사귀다,TOPIK 1
사다,TOPIK 1
사람,TOPIK 1
사랑,TOPIK 1
사무실,TOPIK 1
사실,TOPIK 1
사십,TOPIK 1
사업,TOPIK 1
사용,TOPIK 1
사월,TOPIK 1
사이,TOPIK 1
사이다,TOPIK 1
사이즈,TOPIK 1
사장,TOPIK 1
사진,TOPIK 1
사탕,TOPIK 1
사흘,TOPIK 1
산,TOPIK 1
산책,TOPIK 1
살,TOPIK 1
살,TOPIK 1
살다,TOPIK 1
삼,TOPIK 1
삼거리,TOPIK 1
삼겹살,TOPIK 1
삼계탕,TOPIK 1
삼십,TOPIK 1
삼월,TOPIK 1
삼촌,TOPIK 1
상,TOPIK 1
상자,TOPIK 1
상처,TOPIK 1
상추,TOPIK 1
상품,TOPIK 1
새로,TOPIK 1
새롭다,TOPIK 1
새벽,TOPIK 1
새해,TOPIK 1
색,TOPIK 1
색깔,TOPIK 1
샌드위치,TOPIK 1
생각,TOPIK 1
생각나다,TOPIK 1
생기다,TOPIK 1
생선,TOPIK 1
생신,TOPIK 1
생일,TOPIK 1
생활,TOPIK 1
샤워,TOPIK 1
서너,TOPIK 1
서다,TOPIK 1
서두르다,TOPIK 1
서랍,TOPIK 1
서로,TOPIK 1
서류,TOPIK 1
서른,TOPIK 1
서비스,TOPIK 1
서양,TOPIK 1
서울,TOPIK 1
서점,TOPIK 1
서쪽,TOPIK 1
섞다,TOPIK 1
선물,TOPIK 1
선배,TOPIK 1
선생님,TOPIK 1
선선하다,TOPIK 1
선수,TOPIK 1
선택,TOPIK 1
선풍기,TOPIK 1
설거지,TOPIK 1
설날,TOPIK 1
설렁탕,TOPIK 1
설명,TOPIK 1
설탕,TOPIK 1
섬,TOPIK 1
섭섭하다,TOPIK 1
성,TOPIK 1
성격,TOPIK 1
성공,TOPIK 1
성적,TOPIK 1
성함,TOPIK 1
세,TOPIK 1
세계,TOPIK 1
세배,TOPIK 1
세상,TOPIK 1
세수,TOPIK 1
세우다,TOPIK 1
세탁,TOPIK 1
세탁기,TOPIK 1
세탁소,TOPIK 1
센터,TOPIK 1
센티미터,TOPIK 1
셋,TOPIK 1
셋째,TOPIK 1
소,TOPIK 1
소개,TOPIK 1
소고기,TOPIK 1
소금,TOPIK 1
소리,TOPIK 1
소설,TOPIK 1
소식,TOPIK 1
소주,TOPIK 1
소중하다,TOPIK 1
소파,TOPIK 1
소포,TOPIK 1
소풍,TOPIK 1
소화제,TOPIK 1
속,TOPIK 1
속도,TOPIK 1
속옷,TOPIK 1
손,TOPIK 1
손가락,TOPIK 1
손녀,TOPIK 1
손님,TOPIK 1
